tweetDate,content,twitterProfile,tweetUrl,timestamp,query,error
Tue Jul 21 18:17:21 +0000 2020,"Learn more about MUSE Virtual during our Parent Informational Zoom Session TONIGHT at 5:00pm PST. Just send is a DM with your e-mail address and we will send you the link.
#musevirtual #elearning #fall2020 #distantlearning #onlineeducation https://t.co/bWvWrxjJbC",https://twitter.com/MUSEVirtual,https://twitter.com/MUSEVirtual/status/1285640021727498242,2023-05-09T10:53:19.075Z,"#OnlineEducation, #DistantLearning",
Thu Sep 17 13:40:55 +0000 2020,"Come back tomorrow👀...

#onlinelearning #elearning #onlineeducation #distantlearning #designexperts #sportsmedicine #sportsandexercisemedicine #learningspecialists https://t.co/0QzCvrw5nZ",https://twitter.com/WLSolutionsLtd,https://twitter.com/WLSolutionsLtd/status/1306588948081278976,2023-05-09T10:53:19.075Z,"#OnlineEducation, #DistantLearning",
Thu Aug 20 08:14:31 +0000 2020,"Hire me 
https://t.co/5FuQs6huxS
#passionateeducator #distantlearning #virtualreality #d #online #teacher #lms #schoolclosures #teachersofig #parenting #digitaleducation #education #elearning #onlineeducation #digitallearning #onlinelearning #digitalapp #educationapp #edumu https://t.co/gcRXQ2SyVp",https://twitter.com/mycreativeman,https://twitter.com/mycreativeman/status/1296359946884460544,2023-05-09T10:53:19.075Z,"#OnlineEducation, #DistantLearning",
Tue Aug 04 12:18:10 +0000 2020,"We’re confident we’ll WOW you with our beautifully designed digital learning solutions. 

Involve Yourself in Instant Interactive Learning. 

#onlineeducation #distantlearning #elearning #sportsmedicine #sportandexercisemedicine #learningspecialists #designexperts https://t.co/ULTyx3eSit",https://twitter.com/WLSolutionsLtd,https://twitter.com/WLSolutionsLtd/status/1290623059104333824,2023-05-09T10:53:19.075Z,"#OnlineEducation, #DistantLearning",
Sun Feb 25 11:12:46 +0000 2018,#distantlearning Learning today has become such difficult yet easy for the people by online study. #EducationCannotWait All this is online education through technology . #Study @ https://t.co/GxYGHq1b8R for best online education . 🙂,https://twitter.com/TakshilaLearn,https://twitter.com/TakshilaLearn/status/967719013810876416,2023-05-09T10:53:19.075Z,"#OnlineEducation, #DistantLearning",
Tue Aug 18 15:46:08 +0000 2020,"We at WLS want to encourage taking your learning online today! Here’s a few reasons why you should make the jump today📲

#onlineeducation #selfpacedlearning #distantlearning #elearning #sportsmedicine #designexperts https://t.co/a547RGJfXN",https://twitter.com/WLSolutionsLtd,https://twitter.com/WLSolutionsLtd/status/1295748826863673347,2023-05-09T10:53:19.075Z,"#OnlineEducation, #DistantLearning",
Thu Jul 16 13:24:02 +0000 2020,https://t.co/WyYKhBeQXR $BOXL #distantlearning #OnlineClasses #onlineeducation #education,https://twitter.com/Soulingerr,https://twitter.com/Soulingerr/status/1283754265887088640,2023-05-09T10:53:19.075Z,"#OnlineEducation, #DistantLearning",
Mon Mar 06 13:20:35 +0000 2023,"Ready to focus? Meet Type Folio, a new keyboard for reMarkable 2.",https://twitter.com/remarkablepaper,https://twitter.com/remarkablepaper/status/1632732912469639168,2023-05-09T10:53:19.075Z,"#OnlineEducation, #DistantLearning",
Wed May 27 20:11:49 +0000 2020,"Will a lonely pig pass for another little duck? Join the pig, five little ducks and us at Common Thread Speech as we get our summarizing on!

#illinois #ohio #distantlearning #digitalclassroom #earlychildhoodeducation #onlineeducation
#weteachsped #telehealth #elearn https://t.co/lVfowzqqRe",https://twitter.com/commonthreadslp,https://twitter.com/commonthreadslp/status/1265737495733571586,2023-05-09T10:53:19.075Z,"#OnlineEducation, #DistantLearning",
Thu Mar 31 14:25:48 +0000 2022,"#onlinelearning is becoming more popular because of #Metaverse Educators, instructors, and institutions are all looking for new ways to make distant learning more dynamic and engaging. 

#hygrit #elearning  #3D #Illustrations #3dvisualization #learning #onlineeducation #education https://t.co/p7Oq7J7PDl",https://twitter.com/TheHygrit,https://twitter.com/TheHygrit/status/1509537448933695505,2023-05-09T10:53:19.075Z,"#OnlineEducation, #DistantLearning",
